dateActivity,productId,cost,userId
2018-12-13,specialpack1_0,0.398,945e93rhoaf2mwh
2018-12-08,specialpack1_0,0.398,ud0htw81k1whtvd
2018-12-12,poolcash005,9.998,efyc6a2edesfyno
2018-12-10,specialpack,0.198,988ade0dpe0hij1
2018-12-09,coinpack001,0.398,iu0su7ko0nzukmp
2018-12-08,specialpack1_0,0.398,ik337qn9jyxdram
2018-12-09,specialpack1_2,0.598,ncv2t1o9r1mqc3o
2018-12-07,specialpack1_0,0.398,5vv2egl5tjghmqm
2018-12-12,coinpack003,1.998,ultitujpe2r7snj
2018-12-13,coinpack004,3.998,9sa2yyvc1he4t5w
2018-12-11,specialpack1_2,0.598,o1evhr5ajandxe7
2018-12-12,coinpack001,0.398,jw96glslasd8p5g
2018-12-09,goldenspin,0.198,2kb2eps9pj74inz
2018-12-12,specialpack2_0,0.998,f7mhs6acxdna1qh
2018-12-13,goldenspin,0.198,a3yvtoumm2qxl7k
2018-12-07,specialpack12_0,2.998,gbryjqb0icehf5t
2018-12-09,goldenspin,0.198,60r9sm9c46y06q3
2018-12-10,goldenspin,0.198,9gm2dtsc45y9jsk
2018-12-11,specialpack1_2,0.598,4ulyfhsjj7k6r8l
2018-12-10,coinpack001,0.398,t70zyepml9ab2wy
2018-12-10,goldenspin,0.198,jkquewtj5cpiizy
2018-12-10,specialpack2_0,0.998,jkquewtj5cpiizy
2018-12-12,goldenspin,0.198,7q74uwua6it7uje
2018-12-07,poolcash001,0.398,2p226vfj9xfscpo
2018-12-10,coinpack002,0.998,8b9evcumh18o2ng
2018-12-12,coinpack001,0.398,x7o0ynstg7kp8p9
2018-12-09,specialpack1_3,0.798,cgm0y63tfchyna2
2018-12-08,poolcash001,0.398,etv7irqkeyg67op
2018-12-08,coinpack001,0.398,8isjrvapx16vv72
2018-12-12,goldenspin,0.198,tvlpif4jfkgqd7m
2018-12-12,specialpack4_0,1.398,qz6jycze5jknigm
2018-12-08,goldenspin,0.198,oeunorlc7p4wud2
2018-12-11,coinpack001,0.398,xymr6tsvcxyo6ip
2018-12-13,poolcash001,0.398,wq1sqegodpngvq7
2018-12-10,goldenspin,0.198,7nuo6t06er57kg9
2018-12-13,goldenspin,0.198,pln54ylkyau2hug
2018-12-11,coinpack001,0.398,zg7v8a67k2mz7tv
2018-12-07,coinpack001,0.398,2nurf0nsz3571gp
2018-12-08,coinpack001,0.398,h5ne26xji7omzl5
2018-12-13,coinpack001,0.398,p16clwb9b1m8onk
2018-12-09,coinpack001,0.398,gdhy0gt4k29v4sq
